"214"," 22099 (2000 EX106)","0.524","","0.2763","1.104","9.85","136.43","186.57","299.82"
"215"," 22753 (1998 WT)","","","0.57","1.219","3.21","307.35","324.82","98.3"
"216"," 22771 (1999 CU3)","","","0.5242","1.576","11.4","338.9","305.84","96.21"
"217"," 23183 (2000 OY21)","1.098","","0.4009","1.824","40.98","119.63","301.49","39.12"
"218"," 23187 (2000 PN9)","","","0.5894","1.847","51.34","164.28","293.54","324.54"
"219"," 23548 (1994 EF2)","","","0.5179","2.289","23.44","345.84","124.29","66.97"
"220"," 23606 (1996 AS1)","0.866","","0.3609","1.751","14.36","296.6","357.66","160.53"
"221"," 23714 (1998 EC3)","","","0.5165","2.128","8.44","127.44","129.69","291.1"
"222"," 24443 (2000 OG)","","","0.8224","2.31","25.74","178.07","231.24","59.64"
"223"," 24445 (2000 PM8)","","","0.5458","2.211","23.77","203.15","219.11","239.33"
"224"," 24475 (2000 VN2)","","","0.4417","1.975","14.63","76.4","32.7","355.86"
"225"," 24761 Ahau (1993 BW2)","","","0.3058","1.335","21.92","121.04","287.55","141.64"
"226"," 25143 Itokawa (1998 SF36)","0.33","2.1e-09","0.2802","1.324","1.62","69.08","162.85","41.26"
"227"," 25330 (1999 KV4)","3.21","","0.3709","1.541","14.33","50.51","86.1","335.29"
"228"," 25916 (2001 CP44)","5.683","","0.4998","2.558","15.76","94.64","199.7","282.57"
"229"," 26166 (1995 QN3)","","","0.6445","3.302","14.79","185.7","62.85","37.23"
"230"," 26310 (1998 TX6)","","","0.4695","2.139","5.38","210.8","98.91","269.97"
"231"," 26379 (1999 HZ1)","","","0.5763","1.606","8.68","252.1","200.61","73.55"
"232"," 26663 (2000 XK47)","","","0.4718","1.546","13.53","303.58","231.21","313.91"
"233"," 26760 (2001 KP41)","5.4","","0.557","2.854","11.01","146.25","155.14","10.99"
"234"," 26817 (1987 QB)","1.172","","0.5937","2.806","3.5","153.16","156.61","60.88"
"235"," 27002 (1998 DV9)","","","0.4335","1.744","8.7","130.33","0.82","14.84"
"236"," 27031 (1998 RO4)","","","0.4263","2.138","5.36","191.76","111.91","268.64"
"237"," 27346 (2000 DN8)","1.802","","0.399","1.875","36.95","135.18","269.29","88.67"
"238"," 29075 (1950 DA)","1.3","","0.5075","1.699","12.15","356.54","224.83","41.32"
"239"," 30825 (1990 TG1)","","","0.6809","2.436","8.74","205.02","33.67","144.18"
"240"," 30997 (1995 UO5)","","","0.6431","1.56","36.25","38.62","151.16","48.64"
"241"," 31210 (1998 BX7)","","","0.502","2.606","8.96","144.87","271.46","251.12"
"242"," 31221 (1998 BP26)","","","0.257","1.723","20.22","331.01","186.79","99.23"
"243"," 31345 (1998 PG)","","","0.3914","2.015","6.5","222.68","156.19","168.69"
"244"," 31346 (1998 PB1)","","","0.4295","2.032","5.97","299.68","350.65","164.43"
"245"," 31662 (1999 HP11)","","","0.5479","1.598","18.82","13.94","312.02","354.16"
"246"," 31669 (1999 JT6)","","","0.5778","2.137","9.54","78.76","39.11","223.53"
"247"," 32906 (1994 RH)","","","0.4404","2.247","18.94","331.14","92.37","59.71"
"248"," 33342 (1998 WT24)","0.432","","0.4177","0.7187","7.37","81.66","167.52","314.57"
"249"," 34613 (2000 UR13)","","","0.3858","2.071","6.18","315.13","286.42","272.48"
"250"," 35107 (1991 VH)","0.929","","0.1437","1.137","13.92","139.31","207.03","65.64"
"251"," 35396 (1997 XF11)","0.704","","0.4838","1.442","4.1","213.63","103.07","139.72"
"252"," 35432 (1998 BG9)","","","0.5457","2.501","13.15","115.32","1.6","359.13"
"253"," 35670 (1998 SU27)","","","0.5964","2.122","7.14","271.33","169.87","257.89"
"254"," 36017 (1999 ND43)","","","0.3142","1.523","5.55","332.06","52.14","320.33"
"255"," 36183 (1999 TX16)","2.339","","0.3323","1.551","38.22","54.64","311.21","212.53"
"256"," 36236 (1999 VV)","","","0.4239","1.332","58.04","241.07","19.8","96.82"
"257"," 36284 (2000 DM8)","","","0.5539","1.484","46.78","323.14","317.98","346.39"
"258"," 37336 (2001 RM)","","","0.4831","2.254","36.67","223.63","118.05","66.06"
"259"," 37638 (1993 VB)","","","0.52","1.913","5.08","145.56","323.22","25.57"
"260"," 37655 Illapa (1994 PM)","","","0.7524","1.478","18.03","139.51","303.92","114.45"
"261"," 38071 (1999 GU3)","","","0.507","2.09","12.73","195.47","8.79","292.66"
"262"," 38086 Beowulf (1999 JB)","0.643","","0.5662","1.42","23.67","165.31","178.96","189.78"
"263"," 38091 (1999 JT3)","2.517","","0.4011","2.17","9.33","64.82","225.02","69.97"
"264"," 38239 (1999 OR3)","","","0.5757","2.036","9.4","199.75","28.57","44.78"
"265"," 39557 Gielgud (1992 JG)","","","0.4262","2.264","5.55","58.46","240.0","268.05"
"266"," 39565 (1992 SL)","","","0.3342","1.642","8.6","0.94","344.77","283.43"
"267"," 39572 (1993 DQ1)","1.554","","0.4928","2.036","10.03","313.5","344.84","341.52"
"268"," 39796 (1997 TD)","2.131","","0.4683","2.251","12.93","158.86","171.09","126.83"
"269"," 40263 (1999 FQ5)","0.954","","0.161","1.495","25.84","172.8","198.72","7.53"
"270"," 40267 (1999 GJ4)","1.641","","0.8084","1.339","34.48","148.2","211.95","291.0"
"271"," 40329 (1999 ML)","","","0.455","2.265","2.52","210.9","112.0","255.87"
"272"," 41429 (2000 GE2)","0.204","","0.5556","1.593","2.17","351.79","297.37","238.87"
"273"," 41440 (2000 HZ23)","","","0.2114","1.576","15.11","64.03","200.15","304.44"
"274"," 42286 (2001 TN41)","","","0.3915","1.419","24.08","55.82","150.95","341.8"
"275"," 48603 (1995 BC2)","0.844","","0.4297","1.918","5.02","328.21","81.84","251.28"
"276"," 52340 (1992 SY)","","","0.5479","2.211","8.08","5.23","116.37","338.82"
"277"," 52381 (1993 HA)","","","0.1441","1.278","7.73","183.24","263.89","312.06"
"278"," 52387 Huitzilopochtli (1993 OM7)","0.89","","0.1897","1.282","24.15","297.56","195.56","255.97"
"279"," 52689 (1998 FF2)","","","0.2926","1.562","10.98","4.64","265.22","5.33"
"280"," 52750 (1998 KK17)","1.059","","0.5249","1.427","11.17","141.31","334.16","98.23"
"281"," 52760 (1998 ML14)","1.0","","0.6236","2.409","2.43","338.65","20.36","92.55"
"282"," 52761 (1998 MN14)","","","0.2243","1.555","19.49","258.97","350.52","64.77"
"283"," 52762 (1998 MT24)","6.742","","0.6532","2.416","33.87","308.95","254.51","134.2"
"284"," 52768 (1998 OR2)","1.75","","0.5757","2.379","5.88","26.93","174.57","188.66"
"285"," 53110 (1999 AR7)","","","0.2146","1.644","40.63","85.41","58.23","222.42"
"286"," 53319 (1999 JM8)","7.0","","0.6415","2.724","13.84","133.63","166.79","316.53"
